"Время","Планшеты, Визиты","Планшеты, Доля","Десктоп, Визиты","Десктоп, Доля","Смартфоны, Визиты","Смартфоны, Доля"
"2018-04-23 - 2018-04-29","224892811","0.04988551292556724","2513916279","0.557634556979451","1769369694","0.39247993009498183"
"2018-04-30 - 2018-05-06","219900632","0.05656293511946493","1993957944","0.5128867197499173","1673857497","0.4305503451306178"
"2018-05-07 - 2018-05-13","220352138","0.05203956329599669","2257923564","0.5332435495874355","1756043805","0.41471688711656784"
"2018-05-14 - 2018-05-20","220336567","0.04946185771529501","2410011415","0.5410070753302006","1824328352","0.40953106695450436"
"2018-05-21 - 2018-05-27","211934839","0.04904491791018621","2350450823","0.5439297673279881","1758853888","0.4070253147618257"
"2018-05-28 - 2018-06-03","210437855","0.04932592273999486","2326641110","0.5453568210698397","1729194088","0.4053172561901654"
"2018-06-04 - 2018-06-10","209301295","0.048123078074330736","2388379213","0.5491421318645334","1751611004","0.40273479006113583"
"2018-06-11 - 2018-06-17","210886801","0.05291090285277825","2044067545","0.5128507748477437","1730742167","0.4342383222994781"
"2018-06-18 - 2018-06-24","204643875","0.049055572783543513","2212510457","0.5303650928116691","1754520024","0.4205793344047874"
"2018-06-25 - 2018-07-01","198001455","0.049369104285778544","2102461819","0.5242216871541608","1710171674","0.4264092085600606"
"2018-07-02 - 2018-07-08","201357378","0.049563255097999644","2110598018","0.5195146510870163","1750678860","0.4309220938149841"
"2018-07-09 - 2018-07-15","194354578","0.048929102393122606","2064529908","0.5197489881725141","1713282762","0.43132190943436327"
"2018-07-16 - 2018-07-22","195987196","0.049107946808451625","2079749039","0.5211167222482248","1715210419","0.4297753309433236"
"2018-07-23 - 2018-07-29","190405039","0.04880188184139231","2017634714","0.5171311191597159","1693552395","0.4340669989988918"
"2018-07-30 - 2018-08-05","191402292","0.04863658958080943","2025155803","0.5146054971363955","1718797851","0.43675791328279506"
"2018-08-06 - 2018-08-12","189505467","0.048278089037693796","2020218989","0.514667538465166","1715564858","0.43705437249714024"
"2018-08-13 - 2018-08-19","190276217","0.048021676220353686","2045314163","0.5161938578192865","1726708148","0.43578446596035986"
"2018-08-20 - 2018-08-26","190265662","0.04773256384354649","2054140071","0.5153287831968052","1741670997","0.43693865295964834"
"2018-08-27 - 2018-09-02","197166391","0.0480084113016407","2123755326","0.5171171348095428","1785991752","0.4348744538888165"
"2018-09-03 - 2018-09-09","195356358","0.04679701276968116","2144088076","0.5136096828335277","1835103180","0.4395933043967911"
"2018-09-10 - 2018-09-16","200985076","0.04631367376521815","2231053556","0.514109249312192","1907610108","0.43957707692258985"
"2018-09-17 - 2018-09-23","200739647","0.045786781992659245","2257007733","0.5148017472931845","1926479645","0.43941147071415626"
"2018-09-24 - 2018-09-30","206937083","0.04596615647844481","2331201727","0.5178210778495548","1963805639","0.4362127656720004"
"2018-10-01 - 2018-10-07","211832760","0.045710912599246194","2375494240","0.512602534115369","2046856567","0.44168655328538475"
"2018-10-08 - 2018-10-14","212224951","0.04551458849057553","2395075467","0.5136572008650294","2055489207","0.4408282106443951"
"2018-10-15 - 2018-10-21","215009534","0.04536536553155721","2435520783","0.5138762385322849","2088978149","0.44075839593615784"
"2018-10-22 - 2018-10-28","217880259","0.0454849662936394","2480315524","0.5177938952547809","2091964060","0.4367211384515796"
"2018-10-29 - 2018-11-04","213287491","0.045485740104874835","2430618814","0.5183543354993242","2045200446","0.436159924395801"
"2018-11-05 - 2018-11-11","220055239","0.046507698771751683","2406630557","0.5086306943132991","2104901550","0.44486160691494925"
"2018-11-12 - 2018-11-18","215630415","0.04465877325939038","2493865170","0.516499303525994","2118904285","0.4388419232146156"
"2018-11-19 - 2018-11-25","217911966","0.044288574376713255","2528771784","0.5139492763670347","2173591266","0.4417621492562521"
"2018-11-26 - 2018-12-02","220848045","0.04424799724749175","2551453048","0.5111962274558891","2218841077","0.4445557752966191"
"2018-12-03 - 2018-12-09","215805437","0.043726297279091095","2523990645","0.5114086410756875","2195573488","0.4448650616452214"
"2018-12-10 - 2018-12-16","213538655","0.04346827037598135","2515039389","0.5119654432931355","2183939826","0.44456628633088313"
"2018-12-17 - 2018-12-23","207715886","0.04288042821598785","2479903427","0.5119460188233065","2156452788","0.4451735529607056"
"2018-12-24 - 2018-12-30","189402963","0.042514537711895464","2278481757","0.5114418330606705","1987131686","0.44604362922743407"
"2018-12-31 - 2019-01-06","197480778","0.053231363582591174","1578983761","0.4256184299253583","1933393047","0.5211502064920505"
"2019-01-07 - 2019-01-13","215021475","0.046873238832207224","2195264318","0.47855289187945765","2177011359","0.47457386928833517"
"2019-01-14 - 2019-01-20","210501660","0.04258259811493758","2479435772","0.5015676219887103","2253435432","0.4558497798963522"
"2019-01-21 - 2019-01-27","214333497","0.04251079410053818","2509665913","0.49776582933596314","2317861170","0.4597233765634987"
